,작업프로세스
0,상차 및 하역작업
1,기타
2,설치작업
3,해체작업
4,운반작업
5,이동작업
6,형틀 및 목공작업
7,타설작업
8,준비작업
9,굴착작업
10,양중작업
11,조립작업
12,마감작업
13,정리 및 청소작업
14,반출작업
15,연결작업
16,적재작업
17,설비작업
18,인양작업
19,도장작업
20,절단작업
21,정비작업
22,고소작업
23,전기 및 배선작업
24,쌓기작업
25,양생작업
26,보수 및 교체작업
27,매설작업
28,벌목작업
29,천공작업
30,항타 및 항발작업
31,확인 및 점검작업
32,부설 및 다짐작업
33,용접작업
34,거치작업
35,물뿌리기 작업
36,측량작업
37,절취작업
38,장약 및 발파작업
39,인발작업
40,제거작업
41,평탄작업
42,철거작업
43,고정작업
44,돌붙임 및 줄눈 작업
45,수정작업
46,토사하역작업
47,조적작업
