,객체대분류,객체소분류
0,가시설,"['거푸집' '작업발판' '흙막이가시설' '비계' '벽이음' '강관동바리' '가설계단' '시스템동바리' '기타 가시설' '버팀보' '낙하물방지망' '안전시설물' '특수거푸집' '합판거푸집' '갱폼' '유로폼' '지지대' '잭서포트' '버팀대' '복공판' '띠장' '수평연결재' '엄지말뚝' '지하벽체' '브라켓' '전도방지재' '지주가설재' 'RCS발판' '안전핀' '가물막이' '가설도로' '방호선반']"
1,건설공구,['사다리' '몰탈혼합기' '망치' '타카총' '스킬 톱' '핸드 그라인더' '핸드절단기' '고무망치' '엔진톱' '커팅기' '근로자 왼쪽 손목' '절단기' '원형톱' '둥근톱' '양수기' '전동드릴' '못' '그라인더' '손수레' '헤라' '드릴' '철근 밴딩기' '절곡기' '흙손' '핸드커팅기' '낫' '빠루' '쇠지랫대' '연결호스' '철근가공기(밴딩)롤러' '밀대' '탁상드릴머신' '드릴비트' '블럭절단기' '톱날' '지렛대(데코)' '믹서기' '홀 컷터 날' '해머드릴' '휘니샤' '지렛대' '핸드스킬' '전동드라이버']
2,건설기계,"['굴착기' '고소작업차' '고소작업대' '콘크리트펌프' '기중기' '카고 크레인' '크롤러 크레인' '이동식크레인' '타워크레인' '트럭 크레인' '하이드로 크레인' '지게차' '콘크리트믹서트럭' '천공기' '공기압축기' '항타 및 항발기' '덤프트럭' '특수건설기계' '콘크리트뱃칭플랜트' '콘크리트피니셔' '어스오거' '아스팔트살포기' '준설선' '로더' '롤러' '불도저' '모터그레이더' '콘크리트살포기' '노상안정기']"
3,건설자재,"['데크플레이트' '자재' '덕트' '파형강판' '철근' '볼트' '파이프서포트' '핀' '와이어로프' '창호' '선라이트' '천정패널' '체인블럭' '철망' '레일' '프리캐스트' '흄관' '말통' '기둥벽체' 'PVC관' '아연도각관' '그레이팅' '싱크대' '시멘트' '합판' 'H-Beam' 'I-Beam' '유공팔판' '수도관' '각관' '유리섬유샌드위치판넬' '테이블리프트' '판넬' '전기분전함' '활성탄여과기' '창문틀' '상승각재' '파이프' '보차도경계석' '상수도관' '도시가스배관' '지붕 형틀' '단열재' '가드레일' '배관' '철골부재' '벽체' '슬래브' '개구부' '거더' 'PSC빔' '교각 기초' '트러스' '슬레이트' '기성말뚝' '교량 바닥판' '조적벽체' '강박스' '현장타설말뚝' '우레탄 폼']"
4,기타,"['기타' '전주, 전선' '건설폐기물' '지하매설물' '작업대차' '차량' '비산물' '유증기' '건물' '담장' '석축' '옹벽' '터널 갱구부' '보강토 옹벽' '위험물저장탱크' '돌담' '방음벽' '톨루엔' '아르곤' '충전가스']"
5,토사 및 암반,['절토사면' '지반' '경사면' '암사면' '성토사면' '부석' '굴착사면' '벽돌' '터널 막장면' '터널 천단부']
