word,,,,,,T_F,,,,,,
조립용,,,,NNP,*,,조립용,*,*,*,*,*
발판재,,,,NNP,*,,발판재,*,*,*,*,*
볼팅,,,,NNP,*,,볼팅,*,*,*,*,*
진출입로,,,,NNP,*,,진출입로,*,*,*,*,*
이음부,,,,NNP,*,,이음부,*,*,*,*,*
설계도면,,,,NNP,*,,설계도면,*,*,*,*,*
전기배관재,,,,NNP,*,,전기배관재,*,*,*,*,*
형틀부속자재,,,,NNP,*,,형틀부속자재,*,*,*,*,*
낙하물,,,,NNP,*,,낙하물,*,*,*,*,*
수직보호망,,,,NNP,*,,수직보호망,*,*,*,*,*
가설기자재,,,,NNP,*,,가설기자재,*,*,*,*,*
매립볼트,,,,NNP,*,,매립볼트,*,*,*,*,*
폼타이,,,,NNP,*,,폼타이,*,*,*,*,*
유로폼,,,,NNP,*,,유로폼,*,*,*,*,*
앵카,,,,NNP,*,,앵카,*,*,*,*,*
타워크레인,,,,NNP,*,,타워크레인,*,*,*,*,*
체인블록,,,,NNP,*,,체인블록,*,*,*,*,*
턴 버클,,,,NNP,*,,턴 버클,*,*,*,*,*
잔재물,,,,NNP,*,,잔재물,*,*,*,*,*
위험성,,,,NNP,*,,위험성,*,*,*,*,*
후진경보등,,,,NNP,*,,후진경보등,*,*,*,*,*
후방감지기,,,,NNP,*,,후방감지기,*,*,*,*,*
불안정,,,,NNP,*,,불안정,*,*,*,*,*
충전전로,,,,NNP,*,,충전전로,*,*,*,*,*
뿌리분,,,,NNP,*,,뿌리분,*,*,*,*,*
가지주,,,,NNP,*,,가지주,*,*,*,*,*
근원부,,,,NNP,*,,근원부,*,*,*,*,*
비포장도로,,,,NNP,*,,비포장도로,*,*,*,*,*
슬링벨트,,,,NNP,*,,슬링벨트,*,*,*,*,*
샤클,,,,NNP,*,,샤클,*,*,*,*,*
가이식,,,,NNP,*,,가이식,*,*,*,*,*
화물자동차,,,,NNP,*,,화물자동차,*,*,*,*,*
이중적재,,,,NNP,*,,이중적재,*,*,*,*,*
대형목,,,,NNP,*,,대형목,*,*,*,*,*
체인블럭,,,,NNP,*,,체인블럭,*,*,*,*,*
줄걸이,,,,NNP,*,,줄걸이,*,*,*,*,*
목도운반,,,,NNP,*,,목도운반,*,*,*,*,*
근골계질환,,,,NNP,*,,근골계질환,*,*,*,*,*
백호 버켓,,,,NNP,*,,백호 버켓,*,*,*,*,*
탈장착,,,,NNP,*,,탈장착,*,*,*,*,*
마운딩,,,,NNP,*,,마운딩,*,*,*,*,*
양질토,,,,NNP,*,,양질토,*,*,*,*,*
아웃트리거,,,,NNP,*,,아웃트리거,*,*,*,*,*
섬유벨트,,,,NNP,*,,섬유벨트,*,*,*,*,*
식재,,,,NNP,*,,식재,*,*,*,*,*
고무판,,,,NNP,*,,고무판,*,*,*,*,*
지반침하,,,,NNP,*,,지반침하,*,*,*,*,*
보조로프,,,,NNP,*,,보조로프,*,*,*,*,*
근골격계,,,,NNP,*,,근골격계,*,*,*,*,*
방독마스크,,,,NNP,*,,방독마스크,*,*,*,*,*
물질안전보건자료,,,,NNP,*,,물질안전보건자료,*,*,*,*,*
지붕 트러스트,,,,NNP,*,,지붕 트러스트,*,*,*,*,*
지붕판,,,,NNP,*,,지붕판,*,*,*,*,*
강관비계,,,,NNP,*,,강관비계,*,*,*,*,*
시스템비계,,,,NNP,*,,시스템비계,*,*,*,*,*
강관틀비계,,,,NNP,*,,강관틀비계,*,*,*,*,*
추락방호망,,,,NNP,*,,추락방호망,*,*,*,*,*
걸이용,,,,NNP,*,,걸이용,*,*,*,*,*
안전블록,,,,NNP,*,,안전블록,*,*,*,*,*
적합성,,,,NNP,*,,적합성,*,*,*,*,*
고소작업대,,,,NNP,*,,고소작업대,*,*,*,*,*
발끝막이판,,,,NNP,*,,발끝막이판,*,*,*,*,*
안전계수,,,,NNP,*,,안전계수,*,*,*,*,*
휀스,,,,NNP,*,,휀스,*,*,*,*,*
잔해물,,,,NNP,*,,잔해물,*,*,*,*,*
절연용 방호구,,,,NNP,*,,절연용 방호구,*,*,*,*,*
불티,,,,NNP,*,,불티,*,*,*,*,*
비산방지포,,,,NNP,*,,비산방지포,*,*,*,*,*
안전표지판,,,,NNP,*,,안전표지판,*,*,*,*,*
그네식 안전대,,,,NNP,*,,그네식 안전대,*,*,*,*,*
추락방지대,,,,NNP,*,,추락방지대,*,*,*,*,*
로립,,,,NNP,*,,로립,*,*,*,*,*
마닐라로프,,,,NNP,*,,마닐라로프,*,*,*,*,*
지붕보호벽,,,,NNP,*,,지붕보호벽,*,*,*,*,*
강화 절연판,,,,NNP,*,,강화 절연판,*,*,*,*,*
적치대,,,,NNP,*,,적치대,*,*,*,*,*
적재하중,,,,NNP,*,,적재하중,*,*,*,*,*
적재물,,,,NNP,*,,적재물,*,*,*,*,*
채광지붕,,,,NNP,*,,채광지붕,*,*,*,*,*
골마루판,,,,NNP,*,,골마루판,*,*,*,*,*
샌드위치 판넬,,,,NNP,*,,샌드위치 판넬,*,*,*,*,*
조립설명서,,,,NNP,*,,조립설명서,*,*,*,*,*
건설표준시방서,,,,NNP,*,,건설표준시방서,*,*,*,*,*
철재물,,,,NNP,*,,철재물,*,*,*,*,*
멈춤턱,,,,NNP,*,,멈춤턱,*,*,*,*,*
건물주,,,,NNP,*,,건물주,*,*,*,*,*
석공사,,,,NNP,*,,석공사,*,*,*,*,*
안전작업계획서,,,,NNP,*,,안전작업계획서,*,*,*,*,*
양중장비,,,,NNP,*,,양중장비,*,*,*,*,*
구조체,,,,NNP,*,,구조체,*,*,*,*,*
바탕면,,,,NNP,*,,바탕면,*,*,*,*,*
실란트,,,,NNP,*,,실란트,*,*,*,*,*
누전차단기,,,,NNP,*,,누전차단기,*,*,*,*,*
방진마스크,,,,NNP,*,,방진마스크,*,*,*,*,*
윈치,,,,NNP,*,,윈치,*,*,*,*,*
유도로프,,,,NNP,*,,유도로프,*,*,*,*,*
고소작업차,,,,NNP,*,,고소작업차,*,*,*,*,*
시멘트 페이스트,,,,NNP,*,,시멘트 페이스트,*,*,*,*,*
보양재,,,,NNP,*,,보양재,*,*,*,*,*
사춤 모르타르,,,,NNP,*,,사춤 모르타르,*,*,*,*,*
건강장해,,,,NNP,*,,건강장해,*,*,*,*,*
연결철물,,,,NNP,*,,연결철물,*,*,*,*,*
발포 플라스틱,,,,NNP,*,,발포 플라스틱,*,*,*,*,*
줄눈파기,,,,NNP,*,,줄눈파기,*,*,*,*,*
먹매김,,,,NNP,*,,먹매김,*,*,*,*,*
