익스텐디드 메탈,,,,NNP,*,T,익스텐디드 메탈,*,*,*,*,*
압송관,,,,NNP,*,T,압송관,*,*,*,*,*
조립용,,,,NNP,*,T,조립용,*,*,*,*,*
발판재,,,,NNP,*,F,발판재,*,*,*,*,*
볼팅,,,,NNP,*,T,볼팅,*,*,*,*,*
진출입로,,,,NNP,*,F,진출입로,*,*,*,*,*
이음부,,,,NNP,*,F,이음부,*,*,*,*,*
설계도면,,,,NNP,*,T,설계도면,*,*,*,*,*
전기배관재,,,,NNP,*,F,전기배관재,*,*,*,*,*
형틀부속자재,,,,NNP,*,F,형틀부속자재,*,*,*,*,*
낙하물,,,,NNP,*,T,낙하물,*,*,*,*,*
수직보호망,,,,NNP,*,T,수직보호망,*,*,*,*,*
가설기자재,,,,NNP,*,F,가설기자재,*,*,*,*,*
매립볼트,,,,NNP,*,F,매립볼트,*,*,*,*,*
폼타이,,,,NNP,*,F,폼타이,*,*,*,*,*
유로폼,,,,NNP,*,T,유로폼,*,*,*,*,*
앵카,,,,NNP,*,F,앵카,*,*,*,*,*
타워크레인,,,,NNP,*,T,타워크레인,*,*,*,*,*
체인블록,,,,NNP,*,T,체인블록,*,*,*,*,*
턴 버클,,,,NNP,*,T,턴 버클,*,*,*,*,*
잔재물,,,,NNP,*,T,잔재물,*,*,*,*,*
위험성,,,,NNP,*,T,위험성,*,*,*,*,*
후진경보등,,,,NNP,*,T,후진경보등,*,*,*,*,*
후방감지기,,,,NNP,*,F,후방감지기,*,*,*,*,*
불안정,,,,NNP,*,T,불안정,*,*,*,*,*
충전전로,,,,NNP,*,F,충전전로,*,*,*,*,*
뿌리분,,,,NNP,*,T,뿌리분,*,*,*,*,*
가지주,,,,NNP,*,F,가지주,*,*,*,*,*
근원부,,,,NNP,*,F,근원부,*,*,*,*,*
비포장도로,,,,NNP,*,F,비포장도로,*,*,*,*,*
슬링벨트,,,,NNP,*,F,슬링벨트,*,*,*,*,*
샤클,,,,NNP,*,T,샤클,*,*,*,*,*
가이식,,,,NNP,*,T,가이식,*,*,*,*,*
화물자동차,,,,NNP,*,F,화물자동차,*,*,*,*,*
이중적재,,,,NNP,*,F,이중적재,*,*,*,*,*
대형목,,,,NNP,*,T,대형목,*,*,*,*,*
체인블럭,,,,NNP,*,T,체인블럭,*,*,*,*,*
줄걸이,,,,NNP,*,F,줄걸이,*,*,*,*,*
목도운반,,,,NNP,*,T,목도운반,*,*,*,*,*
근골계질환,,,,NNP,*,T,근골계질환,*,*,*,*,*
백호 버켓,,,,NNP,*,T,백호 버켓,*,*,*,*,*
탈장착,,,,NNP,*,T,탈장착,*,*,*,*,*
마운딩,,,,NNP,*,T,마운딩,*,*,*,*,*
양질토,,,,NNP,*,F,양질토,*,*,*,*,*
아웃트리거,,,,NNP,*,F,아웃트리거,*,*,*,*,*
섬유벨트,,,,NNP,*,F,섬유벨트,*,*,*,*,*
식재,,,,NNP,*,F,식재,*,*,*,*,*
고무판,,,,NNP,*,T,고무판,*,*,*,*,*
지반침하,,,,NNP,*,F,지반침하,*,*,*,*,*
보조로프,,,,NNP,*,F,보조로프,*,*,*,*,*
근골격계,,,,NNP,*,F,근골격계,*,*,*,*,*
방독마스크,,,,NNP,*,F,방독마스크,*,*,*,*,*
물질안전보건자료,,,,NNP,*,F,물질안전보건자료,*,*,*,*,*
지붕 트러스트,,,,NNP,*,F,지붕 트러스트,*,*,*,*,*
지붕판,,,,NNP,*,T,지붕판,*,*,*,*,*
강관비계,,,,NNP,*,F,강관비계,*,*,*,*,*
시스템비계,,,,NNP,*,F,시스템비계,*,*,*,*,*
강관틀비계,,,,NNP,*,F,강관틀비계,*,*,*,*,*
추락방호망,,,,NNP,*,T,추락방호망,*,*,*,*,*
걸이용,,,,NNP,*,T,걸이용,*,*,*,*,*
안전블록,,,,NNP,*,T,안전블록,*,*,*,*,*
적합성,,,,NNP,*,T,적합성,*,*,*,*,*
고소작업대,,,,NNP,*,F,고소작업대,*,*,*,*,*
발끝막이판,,,,NNP,*,T,발끝막이판,*,*,*,*,*
안전계수,,,,NNP,*,F,안전계수,*,*,*,*,*
