,0,1
317,울,-8.18158
318,르,-8.18706
319,칙,-8.19257
320,폐,-8.19257
321,6,-8.20928
322,까,-8.20928
323,앵,-8.21491
324,곳,-8.22628
325,탈,-8.23777
326,플,-8.23777
327,응,-8.24357
328,둥,-8.25526
329,클,-8.25526
330,노,-8.26116
331,복,-8.2912
332,탄,-8.2912
333,허,-8.32216
334,휘,-8.32847
335,k,-8.33482
336,너,-8.33482
337,럭,-8.33482
338,u,-8.34121
339,케,-8.34764
340,협,-8.34764
341,널,-8.35411
342,송,-8.36718
343,뚝,-8.37378
344,넘,-8.38043
345,균,-8.38712
346,오,-8.39385
347,p,-8.41433
348,본,-8.44942
349,카,-8.45659
350,골,-8.46381
351,올,-8.47108
352,:,-8.47841
353,청,-8.47841
354,악,-8.48579
355,투,-8.48579
356,펌,-8.48579
357,L,-8.49322
358,술,-8.49322
359,데,-8.51587
360,워,-8.51587
361,띠,-8.52353
362,람,-8.52353
363,맞,-8.53903
364,M,-8.57888
365,갖,-8.57888
366,7,-8.59527
367,s,-8.59527
368,티,-8.60357
369,붐,-8.61194
370,팀,-8.62889
371,루,-8.63747
372,암,-8.64613
373,끝,-8.66368
374,템,-8.66368
375,활,-8.66368
376,잠,-8.67256
377,d,-8.68153
378,편,-8.69058
379,덮,-8.70893
380,9,-8.71823
381,h,-8.72762
382,링,-8.72762
383,밖,-8.7371
384,켓,-8.7371
385,잭,-8.74667
386,온,-8.75633
387,든,-8.76609
388,먼,-8.78589
389,벨,-8.78589
390,B,-8.79594
391,T,-8.79594
392,존,-8.79594
393,붙,-8.82671
394,범,-8.84777
395,애,-8.84777
396,틀,-8.84777
397,깔,-8.85846
398,박,-8.85846
399,쉬,-8.85846
400,흡,-8.86927
401,권,-8.8802
402,끼,-8.8802
403,채,-8.8802
404,움,-8.91373
405,깊,-8.92515
406,날,-8.92515
407,담,-8.92515
408,끄,-8.93672
409,촉,-8.97222
410,코,-8.97222
411,ᆞ,-8.98434
412,광,-8.98434
413,농,-8.98434
414,릴,-8.98434
415,슈,-8.98434
416,쪽,-8.98434
417,웃,-8.99661
418,름,-9.00904
419,f,-9.02162
420,힘,-9.02162
421,F,-9.03435
422,메,-9.03435
423,삽,-9.03435
424,팅,-9.03435
425,께,-9.04726
426,새,-9.04726
427,액,-9.04726
428,멘,-9.06033
429,/,-9.07357
430,갱,-9.07357
431,놓,-9.07357
432,잘,-9.07357
433,좌,-9.07357
434,곤,-9.087
435,벤,-9.087
436,봉,-9.087
437,횡,-9.087
438,져,-9.1006
439,R,-9.1144
440,많,-9.1144
441,럼,-9.12838
442,령,-9.12838
443,갑,-9.14257
444,램,-9.18637
445,못,-9.18637
446,센,-9.18637
447,%,-9.20141
448,옹,-9.20141
449,“,-9.21667
450,뒤,-9.21667
451,참,-9.21667
452,멍,-9.24793
453,b,-9.26393
454,돈,-9.26393
455,국,-9.28019
456,린,-9.28019
457,알,-9.28019
458,잡,-9.28019
459,득,-9.29672
460,었,-9.29672
461,꽃,-9.31353
462,율,-9.31353
463,풀,-9.31353
464,훅,-9.31353
465,”,-9.33062
466,곡,-9.36571
467,쌓,-9.36571
468,틈,-9.36571
469,휴,-9.36571
470,뇌,-9.38373
471,숙,-9.40208
472,핀,-9.40208
473,흔,-9.40208
474,딪,-9.42077
475,머,-9.42077
476,섭,-9.42077
477,N,-9.43982
478,얼,-9.43982
479,킨,-9.43982
480,랜,-9.45924
481,잔,-9.45924
482,찰,-9.45924
483,칠,-9.45924
484,란,-9.47904
485,테,-9.47904
486,눈,-9.49924
487,염,-9.49924
488,월,-9.51986
489,총,-9.51986
490,W,-9.54092
491,값,-9.54092
492,딜,-9.54092
493,병,-9.54092
494,습,-9.54092
495,갈,-9.56242
496,겨,-9.56242
497,깨,-9.56242
498,샤,-9.56242
499,칭,-9.56242
500,킬,-9.56242
501,y,-9.5844
502,궤,-9.5844
503,섬,-9.5844
504,쇄,-9.5844
505,쉽,-9.60687
506,°,-9.62986
507,였,-9.62986
508,쳐,-9.62986
509,v,-9.65339
510,~,-9.65339
511,엄,-9.65339
512,창,-9.65339
513,싱,-9.67749
514,학,-9.67749
515,홀,-9.67749
516,뉴,-9.70218
517,롤,-9.70218
518,빈,-9.70218
519,큰,-9.70218
520,효,-9.70218
521,번,-9.7275
522,베,-9.7275
523,족,-9.7275
524,x,-9.75348
525,남,-9.75348
526,밍,-9.75348
527,쐐,-9.75348
528,앞,-9.75348
529,퀴,-9.75348
530,혼,-9.75348
531,네,-9.78014
532,낮,-9.80754
533,덤,-9.80754
534,앙,-9.80754
535,끗,-9.83571
536,런,-9.83571
537,엔,-9.83571
538,던,-9.8647
539,헬,-9.8647
540,∼,-9.89456
541,뢰,-9.89456
542,밑,-9.89456
543,삭,-9.89456
544,훈,-9.89456
545,넓,-9.92533
546,렌,-9.92533
547,벗,-9.92533
548,밸,-9.95708
549,택,-9.95708
550,패,-9.95708
551,～,-9.95708
552,→,-9.98987
553,퍼,-9.98987
554,페,-9.98987
555,휨,-9.98987
556,냉,-10.0238
557,헤,-10.0238
558,뒷,-10.0589
559,디,-10.0589
560,빠,-10.0589
561,뿜,-10.0589
562,윈,-10.0589
563,춘,-10.0589
564,캡,-10.0589
565,꼬,-10.0952
566,민,-10.0952
567,싣,-10.0952
568,「,-10.133
569,」,-10.133
570,끌,-10.133
571,극,-10.1722
572,넣,-10.1722
573,륜,-10.1722
574,믹,-10.1722
575,징,-10.1722
576,킷,-10.1722
577,폴,-10.1722
578,[,-10.213
579,],-10.213
580,빙,-10.213
581,써,-10.213
582,튼,-10.213
583,펴,-10.213
584,J,-10.2556
585,겹,-10.2556
586,괄,-10.2556
587,론,-10.2556
588,묶,-10.2556
589,살,-10.2556
590,언,-10.2556
591,됨,-10.3
592,딩,-10.3
593,틸,-10.3
594,녹,-10.3465
595,느,-10.3465
596,탕,-10.3465
597,겐,-10.3953
598,닌,-10.3953
599,닐,-10.3953
600,닿,-10.3953
601,률,-10.3953
602,백,-10.3953
603,빔,-10.3953
604,캐,-10.3953
605,톤,-10.3953
606,옥,-10.4466
607,짧,-10.4466
608,츄,-10.4466
609,친,-10.4466
610,핸,-10.4466
611,w,-10.5007
612,귀,-10.5007
613,맨,-10.5007
614,밴,-10.5007
615,색,-10.5007
616,셔,-10.5007
617,씌,-10.5007
618,윤,-10.5007
619,척,-10.5007
620,탱,-10.5007
621,톱,-10.5007
622,튀,-10.5007
623,핍,-10.5007
624,혹,-10.5007
625,흐,-10.5007
626,닝,-10.5578
627,례,-10.5578
628,몰,-10.5578
629,웨,-10.5578
630,팔,-10.5578
631,팽,-10.5578
632,핑,-10.5578
633,휀,-10.5578
634,깥,-10.6185
635,쇠,-10.6185
636,얻,-10.6185
637,찔,-10.6185
638,턴,-10.6185
639,홈,-10.6185
640,듭,-10.683
641,션,-10.683
642,씨,-10.683
643,훼,-10.683
644,힌,-10.683
645,떠,-10.752
646,좋,-10.752
647,닫,-10.8261
648,둔,-10.8261
649,묻,-10.8261
650,싸,-10.8261
651,첨,-10.8261
652,춤,-10.8261
653,흘,-10.8261
654,덧,-10.9062
655,뜨,-10.9062
656,략,-10.9062
657,멈,-10.9062
658,뿐,-10.9062
659,쁜,-10.9062
660,쓰,-10.9062
661,억,-10.9062
662,〈,-10.9932
663,끊,-10.9932
664,넬,-10.9932
665,렬,-10.9932
666,벌,-10.9932
667,뽑,-10.9932
668,샌,-10.9932
669,슨,-10.9932
670,씩,-10.9932
671,옆,-10.9932
672,옮,-10.9932
673,윗,-10.9932
674,튜,-10.9932
675,혀,-10.9932
676,V,-11.0885
677,±,-11.0885
678,럽,-11.0885
679,릭,-11.0885
680,몸,-11.0885
681,빗,-11.0885
682,혈,-11.0885
683,j,-11.1938
684,〉,-11.1938
685,글,-11.1938
686,댐,-11.1938
687,델,-11.1938
688,먹,-11.1938
689,몹,-11.1938
690,빨,-11.1938
691,뿌,-11.1938
692,익,-11.1938
693,젖,-11.1938
694,즈,-11.1938
695,칸,-11.1938
696,킹,-11.1938
697,탐,-11.1938
698,텐,-11.1938
699,̊,-11.3116
700,곱,-11.3116
701,굳,-11.3116
702,김,-11.3116
703,년,-11.3116
704,늘,-11.3116
705,덩,-11.3116
706,랩,-11.3116
707,뮬,-11.3116
708,삼,-11.3116
709,찾,-11.3116
710,캔,-11.3116
711,큼,-11.3116
712,"""",-11.4452
713,굄,-11.4452
714,납,-11.4452
715,닦,-11.4452
716,덕,-11.4452
717,떼,-11.4452
718,뛰,-11.4452
719,띄,-11.4452
720,렉,-11.4452
721,롱,-11.4452
722,맹,-11.4452
723,쉘,-11.4452
724,싯,-11.4452
725,탁,-11.4452
726,퇴,-11.4452
727,펜,-11.4452
728,햄,-11.4452
729,헐,-11.4452
730,헝,-11.4452
731,흠,-11.4452
732,흥,-11.4452
733,+,-11.5993
734,겊,-11.5993
735,곧,-11.5993
736,곽,-11.5993
737,괭,-11.5993
738,굵,-11.5993
739,꺼,-11.5993
740,꺽,-11.5993
741,꺾,-11.5993
742,낸,-11.5993
743,냄,-11.5993
744,눌,-11.5993
745,랑,-11.5993
746,멸,-11.5993
747,밋,-11.5993
748,밧,-11.5993
749,숫,-11.5993
750,았,-11.5993
751,융,-11.5993
752,죽,-11.5993
753,즐,-11.5993
754,째,-11.5993
755,첫,-11.5993
756,쳇,-11.5993
757,콤,-11.5993
758,텔,-11.5993
759,팩,-11.5993
760,펼,-11.5993
761,했,-11.5993
762,X,-11.7816
763,겸,-11.7816
764,둘,-11.7816
765,랫,-11.7816
766,빼,-11.7816
767,솟,-11.7816
768,윙,-11.7816
769,좁,-11.7816
770,첩,-11.7816
771,컨,-11.7816
772,컴,-11.7816
773,틱,-11.7816
774,팬,-11.7816
775,휠,-11.7816
776,흄,-11.7816
777,?,-12.0048
778,Q,-12.0048
779,_,-12.0048
780,q,-12.0048
781,Φ,-12.0048
782,갓,-12.0048
783,굽,-12.0048
784,꼭,-12.0048
785,끈,-12.0048
786,답,-12.0048
787,듀,-12.0048
788,딛,-12.0048
789,딱,-12.0048
790,뚫,-12.0048
791,롭,-12.0048
792,륙,-12.0048
793,멀,-12.0048
794,밝,-12.0048
795,밟,-12.0048
796,쇼,-12.0048
797,쏠,-12.0048
798,씻,-12.0048
799,얇,-12.0048
800,엇,-12.0048
801,엘,-12.0048
802,잃,-12.0048
803,젤,-12.0048
804,졌,-12.0048
805,짝,-12.0048
806,찌,-12.0048
807,칼,-12.0048
808,퀵,-12.0048
809,킴,-12.0048
810,펀,-12.0048
811,폰,-12.0048
812,픽,-12.0048
813,Y,-12.2924
814,z,-12.2924
815,Ω,-12.2924
816,⋅,-12.2924
817,객,-12.2924
818,겁,-12.2924
819,군,-12.2924
820,궈,-12.2924
821,긋,-12.2924
822,깃,-12.2924
823,껑,-12.2924
824,꽂,-12.2924
825,눕,-12.2924
826,늄,-12.2924
