,0,1
315,넬,-7.99875
316,코,-8.00039
317,준,-8.00366
318,히,-8.01855
319,창,-8.03536
320,둥,-8.04558
321,남,-8.05418
322,것,-8.0716
323,압,-8.0716
324,술,-8.07866
325,갑,-8.08043
326,딛,-8.08576
327,앞,-8.09832
328,습,-8.11103
329,S,-8.12022
330,끝,-8.13135
331,항,-8.13135
332,삭,-8.14072
333,알,-8.1426
334,족,-8.15208
335,홀,-8.15399
336,께,-8.16744
337,볼,-8.16744
338,린,-8.20891
339,벨,-8.217
340,몸,-8.23754
341,르,-8.2417
342,줄,-8.25006
343,머,-8.26275
344,밀,-8.26275
345,저,-8.27345
346,퇴,-8.2756
347,o,-8.27776
348,새,-8.27992
349,노,-8.28208
350,류,-8.28208
351,핸,-8.28426
352,붕,-8.28861
353,최,-8.2908
354,황,-8.30623
355,만,-8.30846
356,R,-8.32191
357,~,-8.32191
358,I,-8.32644
359,험,-8.32644
360,폐,-8.32871
361,팀,-8.33098
362,옥,-8.33555
363,L,-8.3517
364,향,-8.35402
365,겨,-8.35636
366,울,-8.3587
367,꿈,-8.36575
368,너,-8.36575
369,두,-8.37048
370,눈,-8.37285
371,따,-8.37523
372,휴,-8.38
373,r,-8.40421
374,육,-8.41655
375,t,-8.42402
376,숙,-8.42903
377,덮,-8.43913
378,튀,-8.43913
379,환,-8.4519
380,링,-8.45448
381,쓰,-8.46224
382,릴,-8.47006
383,매,-8.47268
384,법,-8.47531
385,플,-8.48059
386,흙,-8.48059
387,균,-8.49123
388,째,-8.4939
389,커,-8.4939
390,핀,-8.4939
391,옮,-8.51833
392,편,-8.52938
393,예,-8.5547
394,D,-8.56041
395,달,-8.56041
396,옹,-8.56328
397,풀,-8.56328
398,응,-8.56616
399,잔,-8.56616
400,짚,-8.57484
401,할,-8.59244
402,았,-8.60434
403,루,-8.60734
404,뒷,-8.61336
405,테,-8.62247
406,n,-8.62859
407,갈,-8.62859
408,케,-8.63166
409,백,-8.63783
410,탑,-8.65343
411,까,-8.65658
412,슴,-8.66291
413,맨,-8.66928
414,팅,-8.67248
415,ᄋ,-8.68214
416,록,-8.69517
417,널,-8.70175
418,광,-8.70506
419,움,-8.70837
420,뛰,-8.71504
421,램,-8.71839
422,메,-8.72175
423,풍,-8.72175
424,k,-8.72512
425,딩,-8.72512
426,g,-8.7319
427,i,-8.7319
428,멍,-8.73531
429,온,-8.73531
430,찰,-8.73531
431,l,-8.74216
432,길,-8.74906
433,톤,-8.75949
434,했,-8.76651
435,p,-8.77004
436,튕,-8.77357
437,갱,-8.77713
438,염,-8.78069
439,취,-8.79146
440,같,-8.79508
441,필,-8.79508
442,곡,-8.82077
443,잘,-8.8245
444,때,-8.82823
445,누,-8.83953
446,덕,-8.83953
447,택,-8.83953
448,덩,-8.84333
449,F,-8.8548
450,국,-8.86252
451,학,-8.86252
452,',-8.87031
453,촉,-8.87422
454,담,-8.87815
455,티,-8.87815
456,펌,-8.87815
457,V,-8.88209
458,독,-8.88209
459,덤,-8.88605
460,친,-8.90205
461,G,-8.90609
462,존,-8.91015
463,X,-8.92654
464,띠,-8.92654
465,활,-8.92654
466,암,-8.93069
467,클,-8.93484
468,흔,-8.96875
469,앙,-8.98176
470,얼,-8.98176
471,밴,-8.99938
472,#,-9.01732
473,살,-9.02185
474,쌓,-9.02185
475,엉,-9.02641
476,찢,-9.0402
477,촬,-9.04484
478,N,-9.0589
479,싱,-9.06362
480,름,-9.06837
481,키,-9.06837
482,느,-9.07315
483,켓,-9.08276
484,엔,-9.09247
485,긴,-9.10228
486,깔,-9.10228
487,채,-9.10228
488,센,-9.11218
489,즉,-9.11218
490,엘,-9.11716
491,봉,-9.13737
492,북,-9.15279
493,빼,-9.15279
494,붙,-9.16846
